Country,Distributor_Name,Total_Orders,Revenue_INR,Sales_Growth_%,Marketing_Spend_INR,Engagement_Score,KPI_Score,Return_Rate,Lead_Time_Compliance,Exclusive,Num_Subdealers
Nigeria,NIG_D1,202,404640.7392,15.46,21037.50786,0.62,0.51,0.05,0.69,Yes,102
Nigeria,NIG_D2,370,795486.748,1.05,40587.2392,0.93,0.81,0.01,0.93,Yes,116
Nigeria,NIG_D3,171,229619.4892,-1.38,21226.84116,0.87,0.49,0.09,0.7,Yes,30
Nigeria,NIG_D4,714,1688512.802,16.17,114332.6372,0.74,0.77,0.07,0.72,Yes,131
Philippines,PHI_D1,566,1024389.5,7.74,51260.79461,0.68,0.64,0.08,0.66,No,84
Philippines,PHI_D2,558,1351701.623,3.66,68888.98823,0.66,0.42,0.07,0.77,Yes,97
Philippines,PHI_D3,472,1169910.278,11,84635.21679,0.39,0.69,0.05,0.67,No,109
Philippines,PHI_D4,971,1188538.216,-3.89,118590.1166,0.33,0.61,0.03,0.69,No,140
Colombia,COL_D1,761,1823793.425,4.85,189509.7774,0.64,0.47,0.06,0.89,Yes,62
Colombia,COL_D2,869,2036354.722,-4.78,107141.2927,0.42,0.43,0.1,0.69,No,97
Colombia,COL_D3,591,1294161.199,10.48,121041.1428,0.32,0.76,0.08,0.72,Yes,47
Colombia,COL_D4,485,1092298.849,16.03,119346.8175,0.39,0.48,0.02,0.96,Yes,30
Egypt,EGY_D1,260,426079.4372,2.65,44292.1105,0.79,0.58,0.07,0.81,No,67
Egypt,EGY_D2,121,271319.9632,-1.82,19041.07742,0.32,0.53,0.06,0.65,Yes,98
Egypt,EGY_D3,660,1266117.742,1.81,107700.2553,0.42,0.43,0.02,0.96,No,68
Egypt,EGY_D4,610,1152258.493,7.92,80539.03243,0.64,0.82,0.06,0.91,Yes,24
Bangladesh,BAN_D1,289,504296.8604,-1.95,43182.5799,0.65,0.94,0.06,0.84,No,60
Bangladesh,BAN_D2,975,2284963.32,10.58,140978.478,0.39,0.6,0.01,0.84,No,64
Bangladesh,BAN_D3,343,529759.4964,6.57,26048.82299,0.76,0.85,0.06,0.84,Yes,73
Bangladesh,BAN_D4,604,954191.9804,-0.08,49814.88015,0.81,0.8,0.05,0.72,Yes,140
