Country,Bike_Model,Quarter,Sales_Units,Distributor
Nigeria,Pulsar NS200,Q1-2025,559,NIG_D1
Nigeria,Pulsar NS200,Q2-2025,483,NIG_D2
Nigeria,Pulsar NS200,Q3-2024,577,NIG_D3
Nigeria,Pulsar NS200,Q4-2024,682,NIG_D4
Nigeria,Dominar 400,Q1-2025,471,NIG_D1
Nigeria,Dominar 400,Q2-2025,471,NIG_D2
Nigeria,Dominar 400,Q3-2024,689,NIG_D3
Nigeria,Dominar 400,Q4-2024,592,NIG_D4
Nigeria,CT100,Q1-2025,443,NIG_D1
Nigeria,CT100,Q2-2025,565,NIG_D2
Nigeria,CT100,Q3-2024,444,NIG_D3
Nigeria,CT100,Q4-2024,444,NIG_D4
Nigeria,Avenger 160,Q1-2025,529,NIG_D1
Nigeria,Avenger 160,Q2-2025,270,NIG_D2
Nigeria,Avenger 160,Q3-2024,293,NIG_D3
Nigeria,Avenger 160,Q4-2024,432,NIG_D4
Nigeria,Platina 110,Q1-2025,378,NIG_D1
Nigeria,Platina 110,Q2-2025,537,NIG_D2
Nigeria,Platina 110,Q3-2024,391,NIG_D3
Nigeria,Platina 110,Q4-2024,330,NIG_D4
Philippines,Pulsar NS200,Q1-2025,675,PHI_D1
Philippines,Pulsar NS200,Q2-2025,472,PHI_D2
Philippines,Pulsar NS200,Q3-2024,508,PHI_D3
Philippines,Pulsar NS200,Q4-2024,329,PHI_D4
Philippines,Dominar 400,Q1-2025,434,PHI_D1
Philippines,Dominar 400,Q2-2025,513,PHI_D2
Philippines,Dominar 400,Q3-2024,361,PHI_D3
Philippines,Dominar 400,Q4-2024,545,PHI_D4
Philippines,CT100,Q1-2025,427,PHI_D1
Philippines,CT100,Q2-2025,464,PHI_D2
Philippines,CT100,Q3-2024,427,PHI_D3
Philippines,CT100,Q4-2024,722,PHI_D4
Philippines,Avenger 160,Q1-2025,498,PHI_D1
Philippines,Avenger 160,Q2-2025,373,PHI_D2
Philippines,Avenger 160,Q3-2024,598,PHI_D3
Philippines,Avenger 160,Q4-2024,353,PHI_D4
Philippines,Platina 110,Q1-2025,525,PHI_D1
Philippines,Platina 110,Q2-2025,264,PHI_D2
Philippines,Platina 110,Q3-2024,340,PHI_D3
Philippines,Platina 110,Q4-2024,523,PHI_D4
Colombia,Pulsar NS200,Q1-2025,588,COL_D1
Colombia,Pulsar NS200,Q2-2025,520,COL_D2
Colombia,Pulsar NS200,Q3-2024,486,COL_D3
Colombia,Pulsar NS200,Q4-2024,463,COL_D4
Colombia,Dominar 400,Q1-2025,322,COL_D1
Colombia,Dominar 400,Q2-2025,413,COL_D2
Colombia,Dominar 400,Q3-2024,444,COL_D3
Colombia,Dominar 400,Q4-2024,626,COL_D4
Colombia,CT100,Q1-2025,541,COL_D1
Colombia,CT100,Q2-2025,288,COL_D2
Colombia,CT100,Q3-2024,538,COL_D3
Colombia,CT100,Q4-2024,453,COL_D4
Colombia,Avenger 160,Q1-2025,418,COL_D1
Colombia,Avenger 160,Q2-2025,573,COL_D2
Colombia,Avenger 160,Q3-2024,623,COL_D3
Colombia,Avenger 160,Q4-2024,611,COL_D4
Colombia,Platina 110,Q1-2025,399,COL_D1
Colombia,Platina 110,Q2-2025,462,COL_D2
Colombia,Platina 110,Q3-2024,539,COL_D3
Colombia,Platina 110,Q4-2024,617,COL_D4
Egypt,Pulsar NS200,Q1-2025,442,EGY_D1
Egypt,Pulsar NS200,Q2-2025,477,EGY_D2
Egypt,Pulsar NS200,Q3-2024,367,EGY_D3
Egypt,Pulsar NS200,Q4-2024,356,EGY_D4
Egypt,Dominar 400,Q1-2025,597,EGY_D1
Egypt,Dominar 400,Q2-2025,662,EGY_D2
Egypt,Dominar 400,Q3-2024,491,EGY_D3
Egypt,Dominar 400,Q4-2024,620,EGY_D4
Egypt,CT100,Q1-2025,543,EGY_D1
Egypt,CT100,Q2-2025,422,EGY_D2
Egypt,CT100,Q3-2024,543,EGY_D3
Egypt,CT100,Q4-2024,684,EGY_D4
Egypt,Avenger 160,Q1-2025,495,EGY_D1
Egypt,Avenger 160,Q2-2025,687,EGY_D2
Egypt,Avenger 160,Q3-2024,185,EGY_D3
Egypt,Avenger 160,Q4-2024,598,EGY_D4
Egypt,Platina 110,Q1-2025,510,EGY_D1
Egypt,Platina 110,Q2-2025,464,EGY_D2
Egypt,Platina 110,Q3-2024,511,EGY_D3
Egypt,Platina 110,Q4-2024,261,EGY_D4
Bangladesh,Pulsar NS200,Q1-2025,473,BAN_D1
Bangladesh,Pulsar NS200,Q2-2025,542,BAN_D2
Bangladesh,Pulsar NS200,Q3-2024,677,BAN_D3
Bangladesh,Pulsar NS200,Q4-2024,437,BAN_D4
Bangladesh,Dominar 400,Q1-2025,402,BAN_D1
Bangladesh,Dominar 400,Q2-2025,439,BAN_D2
Bangladesh,Dominar 400,Q3-2024,609,BAN_D3
Bangladesh,Dominar 400,Q4-2024,539,BAN_D4
Bangladesh,CT100,Q1-2025,436,BAN_D1
Bangladesh,CT100,Q2-2025,561,BAN_D2
Bangladesh,CT100,Q3-2024,511,BAN_D3
Bangladesh,CT100,Q4-2024,616,BAN_D4
Bangladesh,Avenger 160,Q1-2025,415,BAN_D1
Bangladesh,Avenger 160,Q2-2025,460,BAN_D2
Bangladesh,Avenger 160,Q3-2024,452,BAN_D3
Bangladesh,Avenger 160,Q4-2024,324,BAN_D4
Bangladesh,Platina 110,Q1-2025,535,BAN_D1
Bangladesh,Platina 110,Q2-2025,531,BAN_D2
Bangladesh,Platina 110,Q3-2024,500,BAN_D3
Bangladesh,Platina 110,Q4-2024,471,BAN_D4
